id,name,country,rank,base_url,status,catalogue_url,detail
5767,Yonsei University,South Korea,50,http://www.yonsei.ac.kr,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
2626,Tsinghua University,China,17,http://www.tsinghua.edu.cn,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5107,Kyoto University,Japan,57,http://www.kyoto-u.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5332,Tokyo Institute of Technology,Japan,85,http://www.titech.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10170,Shanghai Jiao Tong University,China,47,https://en.sjtu.edu.cn,ok,https://global.sjtu.edu.cn/en/,
10260,The University of Osaka,Japan,91,,no-website,,no domain or web field in our dataset
761,Pennsylvania State University,United States,82,http://www.psu.edu,ok,https://www.psu.edu/academics,
7860,Lund University,Sweden,72,http://www.lu.se,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
6336,Delft University of Technology,Netherlands,47,http://www.tudelft.nl,ok,https://www.tudelft.nl/onderwijs,
10261,Durham University,United Kingdom,94,,no-website,,no domain or web field in our dataset
3849,The Hong Kong Polytechnic University,Hong Kong,54,https://www.polyu.edu.hk,ok,https://www.polyu.edu.hk/study/ug,
10262,The University of Nottingham,United Kingdom,97,,no-website,,no domain or web field in our dataset
10263,Karlsruhe Institute of Technology (KIT),Germany,98,,no-website,,no domain or web field in our dataset
10264,Politecnico di Milano,Italy,98,,no-website,,no domain or web field in our dataset
10265,University of Zurich (UZH),Switzerland,100,,no-website,,no domain or web field in our dataset
7857,KTH Royal Institute of Technology,Sweden,78,http://www.kth.se,ok,https://www.kth.se/en/studies,
10266,Pohang University of Science And Technology (POSTECH),South Korea,102,,no-website,,no domain or web field in our dataset
3697,Ruprecht-Karls-Universität Heidelberg,Germany,80,http://www.uni-heidelberg.de,ok,https://www.uni-heidelberg.de/en/study,
2202,University of Alberta,Canada,94,http://www.ualberta.ca,blocked-403,,homepage refuses automated access
238,Boston University,United States,88,http://www.bu.edu,ok,https://www.bu.edu/academics/cas/programs/,
10267,Rheinisch-Westfälische Technische Hochschule Aachen,Germany,105,,no-website,,no domain or web field in our dataset
8787,Duke University,United States,62,http://www.duke.edu,ok,https://www.duke.edu/academics/,
10268,Universidade de São Paulo (USP),Brazil,108,,no-website,,no domain or web field in our dataset
8399,University of Birmingham,United Kingdom,76,http://www.bham.ac.uk,ok,https://www.birmingham.ac.uk/study,
10269,Queen Mary University of London (QMUL),United Kingdom,110,,no-website,,no domain or web field in our dataset
10270,University of Wisconsin-Madison,United States,110,,no-website,,no domain or web field in our dataset
10271,Qatar University,Qatar,112,,no-website,,no domain or web field in our dataset
10272,University of St Andrews,United Kingdom,113,,no-website,,no domain or web field in our dataset
1553,University of Technology Sydney,Australia,96,http://www.uts.edu.au,robots-disallowed,,robots.txt disallows every candidate path
2936,Technical University of Denmark,Denmark,107,http://www.dtu.dk,robots-disallowed,,robots.txt disallows every candidate path
2946,University of Copenhagen,Denmark,101,http://www.ku.dk,ok,https://www.ku.dk/academics/programs,
10273,Pontificia Universidad Católica de Chile,Chile,116,,no-website,,no domain or web field in our dataset
8510,University of Southampton,United Kingdom,87,http://www.southampton.ac.uk,ok,https://www.southampton.ac.uk/courses,
5657,Korea University,South Korea,61,http://www.korea.ac.kr,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10274,Leiden University,Netherlands,119,,no-website,,no domain or web field in our dataset
1002,"University of California, Davis",United States,114,http://www.ucdavis.edu,ok,https://www.ucdavis.edu/academics,
4733,University College Dublin,Ireland,118,http://www.ucd.ie,blocked-403,,homepage refuses automated access
1391,Universidad de Buenos Aires,Argentina,84,http://www.uba.ar,ok,https://www.uba.ar/programs,
10275,Indian Institute of Technology Delhi (IITD),India,123,,no-website,,no domain or web field in our dataset
10276,RMIT University,Australia,125,,no-website,,no domain or web field in our dataset
2535,Peking University,China,14,http://www.pku.edu.cn,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10277,Universiti Kebangsaan Malaysia (UKM),Malaysia,126,,no-website,,no domain or web field in our dataset
10278,Sapienza University of Rome,Italy,128,,no-website,,no domain or web field in our dataset
10279,Indian Institute of Technology Bombay (IITB),India,129,,no-website,,no domain or web field in our dataset
10280,Humboldt-Universität zu Berlin,Germany,130,,no-website,,no domain or web field in our dataset
3579,Freie Universität Berlin,Germany,88,http://www.fu-berlin.de,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
1160,University of Washington,United States,81,http://www.washington.edu,ok,https://www.washington.edu/about/,
7872,Uppsala University,Sweden,93,http://www.uu.se,ok,https://www.uu.se/en/study,
2928,Aarhus University,Denmark,131,http://www.au.dk,robots-disallowed,,robots.txt disallows every candidate path
10282,Universiti Sains Malaysia (USM),Malaysia,134,,no-website,,no domain or web field in our dataset
10281,Universiti Putra Malaysia (UPM),Malaysia,134,,no-website,,no domain or web field in our dataset
10283,Universidad Nacional Autónoma de México (UNAM),Mexico,136,,no-website,,no domain or web field in our dataset
7319,Lomonosov Moscow State University,Russia,105,https://www.msu.ru,ok,https://msu.ru/academics/programs/,
10284,Alma Mater Studiorum - University of Bologna,Italy,138,,no-website,,no domain or web field in our dataset
8504,The University of Sheffield,United Kingdom,92,https://www.sheffield.ac.uk,ok,https://sheffield.ac.uk/courses,
10285,"University of North Carolina, Chapel Hill",United States,140,,no-website,,no domain or web field in our dataset
1533,Macquarie University,Australia,138,http://www.mq.edu.au,blocked-403,,homepage refuses automated access
6341,Utrecht University,Netherlands,103,http://www.uu.nl,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
465,Georgia Institute of Technology,United States,123,http://www.gatech.edu,ok,https://www.gatech.edu/academics,
10286,Texas A&M University,United States,144,,no-website,,no domain or web field in our dataset
5073,Korea University,Japan,61,http://www.korea-u.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
787,Purdue University,United States,88,http://www.purdue.edu,ok,https://www.purdue.edu/home/academics/,
8393,University of Bath,United Kingdom,132,http://www.bath.ac.uk,ok,https://www.bath.ac.uk/courses,
