id,name,country,url,verdict,http,final_domain,title,note
10453,Chandigarh University,India,https://www.cuchd.in/,ok,200,cuchd.in,"Best Private University in Punjab, North India (India) - Chandigarh University",page names: chandigarh
6339,Maastricht University,Netherlands,https://www.maastrichtuniversity.nl/,ok,200,maastrichtuniversity.nl,The European university of the Netherlands | Maastricht University,page names: maastricht
10391,Università  Cattolica del Sacro Cuore,Italy,https://www.unicatt.it/,ok,200,unicatt.it,Università Cattolica del Sacro Cuore,"page names: cattolica, cuore, sacro"
